SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_2,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21
340694,0,Cash loans,F,N,Y,0,162000.0,646920.0,18670.5,540000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.025164,-20154,365243,-7665.0,-3425,1,0,0,1,0,0,2.0,2,2,FRIDAY,7,0,0,0,0,0,0,XNA,0.6532158870909747,0.0,0.0,0.0,0.0,-2129.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272667,0,Cash loans,F,N,N,0,135000.0,517500.0,16375.5,517500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-14426,-4787,-864.0,-4704,1,1,0,1,1,0,2.0,2,2,FRIDAY,12,0,0,0,0,0,0,Government,0.7107406378310459,0.0,0.0,0.0,0.0,-2025.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
282903,0,Revolving loans,F,N,Y,0,157500.0,247500.0,12375.0,247500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.00702,-10233,-405,-305.0,-1951,1,1,0,1,0,0,2.0,2,2,MONDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.5566947314135181,7.0,0.0,7.0,0.0,-406.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266909,1,Cash loans,F,N,Y,0,202500.0,592560.0,31023.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.072508,-10101,-855,-4635.0,-1379,1,1,0,1,0,0,2.0,1,1,WEDNESDAY,16,0,0,0,0,0,0,Self-employed,0.7557972463999468,2.0,2.0,2.0,2.0,-752.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363365,0,Cash loans,F,N,Y,0,139500.0,288873.0,10503.0,238500.0,Unaccompanied,Working,Lower secondary,Separated,House / apartment,0.0228,-22483,-122,-6854.0,-4550,1,1,0,1,1,0,1.0,2,2,WEDNESDAY,9,0,0,0,0,1,1,Medicine,0.5331155233823077,1.0,1.0,1.0,1.0,-1410.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121934,0,Cash loans,M,N,N,0,90000.0,265500.0,8464.5,265500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-10142,-458,-5508.0,-2734,1,1,0,1,0,0,2.0,2,2,TUESDAY,7,0,0,0,1,1,1,Business Entity Type 3,0.6148315722705527,0.0,0.0,0.0,0.0,-775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108472,1,Cash loans,F,N,N,1,72000.0,269550.0,14242.5,225000.0,Unaccompanied,State servant,Secondary / secondary special,Married,Municipal apartment,0.018029,-15145,-7414,-3509.0,-4752,1,1,1,1,1,0,3.0,3,3,FRIDAY,11,0,0,0,0,0,0,Medicine,0.4190718231064069,7.0,0.0,7.0,0.0,-1634.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244497,1,Revolving loans,F,N,Y,0,67500.0,225000.0,11250.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.031329,-9257,-1572,-498.0,-1878,1,1,1,1,0,0,1.0,2,2,THURSDAY,9,0,0,0,0,0,0,Agriculture,0.1826768991373188,5.0,0.0,5.0,0.0,-455.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376024,0,Cash loans,M,Y,Y,0,225000.0,891072.0,45625.5,720000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.04622,-20045,-1964,-977.0,-3581,1,1,0,1,0,0,1.0,1,1,MONDAY,15,0,1,1,0,0,0,Transport: type 3,0.6904724843616435,0.0,0.0,0.0,0.0,-415.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
372652,0,Cash loans,M,Y,N,1,270000.0,303489.0,29695.5,274500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.072508,-17420,-4664,-9239.0,-857,1,1,0,1,0,1,3.0,1,1,MONDAY,17,1,0,1,0,0,0,Construction,0.6665202249613107,0.0,0.0,0.0,0.0,-1283.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
441559,0,Revolving loans,F,N,Y,0,135000.0,180000.0,9000.0,180000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.0038179999999999,-15573,-1017,-2895.0,-2230,1,1,0,1,0,0,2.0,2,2,SATURDAY,3,0,0,0,1,1,0,Business Entity Type 3,0.4396586085255927,2.0,0.0,2.0,0.0,-1067.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198017,0,Cash loans,F,N,N,0,225000.0,1278000.0,37498.5,1278000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.020713,-17123,-1334,-5379.0,-577,1,1,1,1,1,0,2.0,3,1,FRIDAY,17,0,0,0,0,0,0,Postal,0.6012353659254496,0.0,0.0,0.0,0.0,-1877.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347484,0,Cash loans,F,Y,Y,0,135000.0,714154.5,22806.0,616500.0,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,0.020246,-18304,-8579,-9780.0,-1826,1,1,0,1,0,0,2.0,3,3,WEDNESDAY,10,0,0,0,0,0,0,Medicine,0.4664637034667362,1.0,0.0,1.0,0.0,-591.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214833,0,Revolving loans,F,N,Y,0,157500.0,585000.0,29250.0,585000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561,-15056,-285,-2177.0,-2367,1,1,0,1,0,0,2.0,1,1,FRIDAY,15,0,0,0,0,0,0,Self-employed,0.6434693364701927,1.0,0.0,1.0,0.0,-361.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269688,0,Cash loans,M,Y,N,1,157500.0,283500.0,19075.5,283500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-13491,-1663,-7627.0,-4659,1,1,0,1,1,1,3.0,2,2,TUESDAY,7,0,0,0,0,0,0,Business Entity Type 3,0.3733884579310293,0.0,0.0,0.0,0.0,-266.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
411000,0,Cash loans,F,N,Y,0,112500.0,148500.0,15723.0,148500.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.018209,-21521,365243,-15226.0,-1563,1,0,0,1,0,0,2.0,3,3,WEDNESDAY,10,0,0,0,0,0,0,XNA,0.5281321206044065,2.0,1.0,2.0,1.0,-473.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115534,0,Cash loans,F,N,Y,1,157500.0,521280.0,26743.5,450000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.005084,-17347,-2173,-3956.0,-897,1,1,0,1,0,0,3.0,2,2,WEDNESDAY,12,0,0,0,0,0,0,Self-employed,0.3481311610019156,3.0,0.0,3.0,0.0,-834.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440611,0,Cash loans,F,Y,Y,0,112500.0,675000.0,26901.0,675000.0,Unaccompanied,Pensioner,Higher education,Civil marriage,House / apartment,0.025164,-23039,365243,-6321.0,-4757,1,0,0,1,0,0,2.0,2,2,FRIDAY,8,0,0,0,0,0,0,XNA,0.6188473685267661,1.0,0.0,1.0,0.0,-953.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277687,0,Cash loans,M,Y,Y,0,157500.0,450000.0,43839.0,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.028663,-23521,365243,-1421.0,-4485,1,0,0,1,0,0,2.0,2,2,TUESDAY,12,0,0,0,0,0,0,XNA,0.3493380289696561,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352511,0,Cash loans,F,N,Y,0,112500.0,448056.0,21919.5,315000.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.010643,-19393,-583,-2641.0,-2681,1,1,0,1,0,0,1.0,2,2,WEDNESDAY,16,0,0,0,0,1,1,Kindergarten,0.4780936651368423,0.0,0.0,0.0,0.0,-1230.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442802,1,Cash loans,F,Y,Y,0,90000.0,213948.0,24268.5,189000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164,-10735,-331,-4038.0,-2349,1,1,0,1,0,0,2.0,2,2,MONDAY,14,0,0,0,0,0,0,Self-employed,0.139582366093896,6.0,0.0,5.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105702,1,Cash loans,F,N,Y,2,90000.0,136512.0,6768.0,108000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.005313,-14238,-3724,-980.0,-5193,1,1,1,1,1,0,4.0,2,2,WEDNESDAY,13,0,0,0,0,0,0,Medicine,0.33683552080635,0.0,0.0,0.0,0.0,-1632.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179940,0,Cash loans,M,Y,Y,1,405000.0,1406583.0,53703.0,1206000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561,-9872,-1318,-2203.0,-2566,1,1,0,1,1,0,3.0,1,1,MONDAY,14,0,0,0,0,0,0,Construction,0.6601964410969293,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199040,0,Cash loans,M,Y,Y,0,99000.0,539100.0,22086.0,450000.0,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.01885,-9021,-291,-3086.0,-1707,1,1,0,1,0,0,2.0,2,2,THURSDAY,14,0,0,0,0,0,0,Trade: type 2,0.1998751136693027,1.0,0.0,1.0,0.0,-682.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453186,0,Cash loans,M,N,N,0,72000.0,119925.0,11227.5,112500.0,Unaccompanied,Pensioner,Lower secondary,Widow,House / apartment,0.019101,-24377,365243,-11143.0,-4375,1,0,0,1,0,0,1.0,2,2,SUNDAY,11,0,0,0,0,0,0,XNA,0.6264769163947602,1.0,0.0,1.0,0.0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450492,0,Cash loans,F,N,Y,0,112500.0,239850.0,23494.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.030755,-24584,365243,-13528.0,-4092,1,0,0,1,0,0,1.0,2,2,SATURDAY,12,0,0,0,0,0,0,XNA,0.7123071174143562,0.0,0.0,0.0,0.0,-1734.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293746,0,Cash loans,F,N,Y,0,247500.0,260640.0,18270.0,225000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.072508,-21839,365243,-9222.0,-5104,1,0,0,1,0,0,2.0,1,1,FRIDAY,17,0,0,0,0,0,0,XNA,0.7047703832633665,0.0,0.0,0.0,0.0,-527.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378731,0,Cash loans,F,N,Y,0,270000.0,1107000.0,43902.0,1107000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.072508,-18301,-3868,-5542.0,-1832,1,1,1,1,1,1,1.0,1,1,MONDAY,11,0,0,0,0,0,0,Business Entity Type 1,0.6792882820412496,0.0,0.0,0.0,0.0,-586.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188592,0,Cash loans,F,N,Y,0,180000.0,360000.0,20794.5,360000.0,Family,Pensioner,Secondary / secondary special,Separated,House / apartment,0.04622,-22326,365243,-9933.0,-4279,1,0,0,1,1,1,1.0,1,1,FRIDAY,13,0,0,0,0,0,0,XNA,0.7577413883361243,0.0,0.0,0.0,0.0,-932.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188074,0,Cash loans,F,N,Y,0,202500.0,542133.0,19602.0,468000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.019101,-20852,365243,-624.0,-4357,1,0,0,1,0,0,1.0,2,2,SATURDAY,11,0,0,0,0,0,0,XNA,0.2073708018597564,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174300,0,Cash loans,F,N,Y,0,112500.0,900000.0,26446.5,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.026392,-19848,-796,-8758.0,-3382,1,1,0,1,0,0,2.0,2,2,WEDNESDAY,10,0,0,0,0,1,1,Security,0.4720896236442054,0.0,0.0,0.0,0.0,-456.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333537,0,Cash loans,F,N,N,0,112500.0,512064.0,25033.5,360000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.0066709999999999,-11737,-2338,-2806.0,-2806,1,1,1,1,1,0,2.0,2,2,THURSDAY,14,0,0,0,0,0,0,Kindergarten,0.3053218120238052,0.0,0.0,0.0,0.0,-152.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268170,0,Cash loans,M,Y,Y,0,135000.0,101880.0,6507.0,90000.0,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.02461,-10306,-353,-4668.0,-2952,1,1,1,1,1,0,2.0,2,2,TUESDAY,15,0,0,0,1,1,1,Business Entity Type 3,0.5780116803963544,0.0,0.0,0.0,0.0,-1582.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159878,0,Cash loans,F,N,Y,0,135000.0,490495.5,27387.0,454500.0,Family,Commercial associate,Higher education,Married,House / apartment,0.002042,-10023,-1565,-2370.0,-1150,1,1,0,1,0,0,2.0,3,3,SUNDAY,16,0,0,0,0,0,0,Self-employed,0.503265573770721,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233917,0,Cash loans,F,Y,Y,0,202500.0,774000.0,60030.0,774000.0,Family,Commercial associate,Higher education,Married,House / apartment,0.026392,-11470,-2793,-533.0,-3686,1,1,1,1,1,0,2.0,2,2,SATURDAY,14,0,0,0,0,0,0,Self-employed,0.7576008629756986,0.0,0.0,0.0,0.0,-2169.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429217,0,Cash loans,M,N,N,0,112500.0,343800.0,16155.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.022625,-10135,-278,-1173.0,-2266,1,1,0,1,0,0,1.0,2,2,WEDNESDAY,17,0,0,0,0,0,0,Other,0.5599248539207906,2.0,0.0,2.0,0.0,-1132.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165803,0,Cash loans,F,Y,Y,0,90000.0,536917.5,19413.0,463500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612,-19229,-3620,-11355.0,-2775,1,1,0,1,0,0,2.0,2,2,SATURDAY,12,0,0,0,0,1,1,Self-employed,0.6197135371694461,5.0,0.0,5.0,0.0,-1790.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270299,0,Cash loans,M,Y,Y,1,315000.0,337500.0,26662.5,337500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.005313,-9587,-2058,-259.0,-1919,1,1,0,1,0,0,3.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,Military,0.4246344442682568,0.0,0.0,0.0,0.0,-866.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222290,0,Cash loans,F,Y,Y,0,54000.0,198666.0,19480.5,175500.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.010556,-24771,365243,-10922.0,-4297,1,0,0,1,0,0,1.0,3,3,MONDAY,12,0,0,0,0,0,0,XNA,0.5769659049087531,2.0,0.0,2.0,0.0,-1091.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300623,0,Cash loans,M,Y,N,0,135000.0,161730.0,9900.0,135000.0,Other_A,Working,Lower secondary,Civil marriage,House / apartment,0.01885,-10445,-742,-958.0,-1935,1,1,1,1,1,0,2.0,2,2,TUESDAY,11,0,0,0,0,1,1,Construction,0.2815605125657308,7.0,0.0,7.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216148,0,Cash loans,M,N,Y,0,67500.0,107820.0,7798.5,90000.0,Family,Working,Secondary / secondary special,Single / not married,With parents,0.035792,-16288,-910,-3845.0,-4291,1,1,1,1,1,0,1.0,2,2,THURSDAY,13,0,0,0,0,1,1,Kindergarten,0.2849166964837349,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162761,0,Cash loans,F,N,Y,2,112500.0,814041.0,23931.0,679500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.019101,-10457,-583,-1113.0,-2912,1,1,1,1,0,0,4.0,2,2,WEDNESDAY,13,0,0,0,0,1,1,Self-employed,0.7188979252672101,0.0,0.0,0.0,0.0,-510.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
